function	ERR10889056-short-paired	ERR10889056-short-single
PF00005.33	1	3
PF00070.33	0	1
PF00108.29	1	0
PF00122.25	1	0
PF00126.33	0	1
PF00152.25	0	1
PF00180.25	1	0
PF00204.31	0	1
PF00213.23	0	1
PF00253.27	0	1
PF00271.37	1	0
PF00324.27	1	0
PF00343.26	1	0
PF00359.27	1	0
PF00378.25	0	1
PF00398.26	0	1
PF00408.26	1	0
PF00464.25	1	0
PF00512.31	0	1
PF00533.33	1	0
PF00535.33	1	0
PF00574.28	1	0
PF00578.27	0	1
PF00689.26	1	0
PF00724.26	1	0
PF00728.28	0	1
PF00860.26	1	0
PF00872.24	2	0
PF00905.27	0	1
PF00912.28	1	0
PF01043.26	0	1
PF01084.26	1	0
PF01098.24	1	0
PF01180.27	0	1
PF01205.25	0	1
PF01411.24	1	0
PF01470.22	1	0
PF01471.23	1	0
PF01546.33	0	1
PF01553.26	0	1
PF01645.23	0	1
PF01668.23	1	0
PF01695.23	0	1
PF01704.24	0	1
PF01841.26	0	1
PF01923.23	1	0
PF02021.23	0	1
PF02163.28	1	0
PF02275.23	1	1
PF02308.21	0	1
PF02350.25	1	0
PF02467.21	1	0
PF02518.31	0	1
PF02540.23	0	1
PF02563.21	0	1
PF02664.20	1	0
PF02746.21	0	1
PF02867.20	0	1
PF02878.22	0	1
PF02899.23	0	1
PF02978.25	2	1
PF03051.21	0	1
PF03611.19	1	0
PF03960.21	0	1
PF03989.18	1	0
PF04326.19	1	0
PF04542.20	0	1
PF04551.19	1	0
PF04607.23	0	1
PF04851.21	0	1
PF05272.17	0	1
PF05496.18	1	0
PF05662.19	0	1
PF05895.17	1	0
PF06026.20	1	0
PF06325.19	1	0
PF06429.18	1	0
PF06723.19	0	1
PF06725.17	1	0
PF08238.18	0	1
PF08348.17	0	1
PF08757.17	1	0
PF09314.17	1	0
PF09820.16	1	0
PF10396.14	1	0
PF10566.15	1	0
PF11987.13	0	1
PF12344.14	1	0
PF12836.13	1	0
PF12972.12	1	0
PF12987.12	1	0
PF13208.11	1	0
PF13361.12	1	0
PF13377.12	1	0
PF13440.11	0	1
PF13614.12	0	1
PF14059.11	1	0
PF14322.12	0	1
PF14437.12	0	1
PF14535.12	1	0
PF14698.11	0	1
PF16363.11	1	0
PF17132.9	0	1
PF17293.8	1	0
PF17827.6	0	1
PF19127.6	1	0
PF19513.4	1	0
PF19838.5	1	0
PF20979.2	0	1
PF21205.3	1	0
PF22042.2	0	1
PF22124.2	1	0
PF22505.1	0	1
PF25591.1	1	0
